,provider_name,address1,city,county,state_code,zip,national_drug_code,order_label,courses_available,geocoded_address,last_report_date,provider_status,:@computed_region_pqdx_y6mm,npi,address2,provider_note
12,babis pharmacy,338 Montgomery ave,Merion,Montgomery,PA,19066,00069-1101-20,Renal Paxlovid,7.0,"{'type': 'Point', 'coordinates': [-75.24369, 40.00582]}",2022-09-26T00:00:00.000,ACTIVE,39.0,,,
13,DAY KIMBALL HOSPITAL,320 POMFRET ST,Putnam,Windham,CT,6260,00069-1085-30,Paxlovid,9.0,"{'type': 'Point', 'coordinates': [-71.91446, 41.90775]}",2022-09-29T00:00:00.000,ACTIVE,7.0,,,
14,WALGREENS STORE #19038,21 COLUMBIA ST,Adams,Berkshire,MA,1220,00069-1085-30,Paxlovid,27.0,"{'type': 'Point', 'coordinates': [-73.11763, 42.62634]}",2022-09-29T00:00:00.000,ACTIVE,22.0,1356866321.0,,
15,ECFH-TAOS,1331 GUSDORF RD,Taos,Taos,NM,87571,00069-1101-20,Renal Paxlovid,5.0,"{'type': 'Point', 'coordinates': [-105.589875, 36.373015]}",2022-10-03T00:00:00.000,ACTIVE,32.0,,,
16,MCCOYS PHARMACY,1645 E Main St,Cottage Grove,Lane,OR,97424,00069-1101-20,Renal Paxlovid,15.0,"{'type': 'Point', 'coordinates': [-123.05048, 43.79698]}",2022-09-30T00:00:00.000,ACTIVE,38.0,,,
17,RICES PHARMACY,1209 N MAIN ST,Beaver Dam,Ohio,KY,42320,00069-1085-30,Paxlovid,8.0,"{'type': 'Point', 'coordinates': [-86.879935, 37.416013]}",2022-09-30T00:00:00.000,ACTIVE,18.0,1962406421.0,,
18,ACME,751 S. SALISBURY BLVD,Salisbury,Wicomico,MD,21801,00069-1085-30,Paxlovid,6.0,"{'type': 'Point', 'coordinates': [-75.59967, 38.35429]}",2022-10-03T00:00:00.000,ACTIVE,21.0,1558714097.0,,
19,17225-FARMACIA HEIDI,CALLE COLON # 260,Aguada,Aguada,PR,602,00069-1085-30,Paxlovid,9.0,"{'type': 'Point', 'coordinates': [-67.18842, 18.379921]}",2022-10-03T00:00:00.000,ACTIVE,,1932252770.0,,
20,"R SHANE ROBERTS, MD",398 N Main St,Decatur,Meigs,TN,37322,00069-1085-30,Paxlovid,12.0,"{'type': 'Point', 'coordinates': [-84.787864, 35.51976]}",2022-10-03T00:00:00.000,ACTIVE,43.0,,,
21,Walmart Pharmacy #677,2650 Lake Rd,Dyersburg,Dyer,TN,38024,00069-1085-30,Paxlovid,50.0,"{'type': 'Point', 'coordinates': [-89.391395, 36.06327]}",2022-10-03T00:00:00.000,ACTIVE,43.0,1548287741.0,,
22,Rite Aid 05375,57 WEST 29TH AVENUE,Eugene,Lane,OR,97405,00069-1085-30,Paxlovid,46.0,"{'type': 'Point', 'coordinates': [-123.0938, 44.02647]}",2022-10-03T00:00:00.000,ACTIVE,38.0,5416879034.0,,
23,Rite Aid 03180,1420 SYCAMORE LINE,Sandusky,Erie,OH,44870,00069-1085-30,Paxlovid,37.0,"{'type': 'Point', 'coordinates': [-82.69694, 41.44536]}",2022-10-03T00:00:00.000,ACTIVE,,1770692014.0,,
24,Rite Aid 02318,5224 DORR STREET,Toledo,Lucas,OH,43615,00069-1085-30,Paxlovid,18.0,"{'type': 'Point', 'coordinates': [-83.6662, 41.65353]}",2022-10-03T00:00:00.000,ACTIVE,36.0,1548276850.0,,
25,Rite Aid 02267,452 POND STREET,Bristol,Bucks,PA,19007,00069-1085-30,Paxlovid,52.0,"{'type': 'Point', 'coordinates': [-74.854455, 40.099175]}",2022-10-03T00:00:00.000,ACTIVE,39.0,1740379494.0,,
26,Rite Aid 02466,10 DONNER AVENUE,Monessen,Westmoreland,PA,15062,00069-1085-30,Paxlovid,36.0,"{'type': 'Point', 'coordinates': [-79.87686, 40.15999]}",2022-10-03T00:00:00.000,ACTIVE,39.0,1407946528.0,,
27,Rite Aid 01355,504 MARION LN,Brodheadsville,Monroe,PA,18322,00069-1085-30,Paxlovid,57.0,"{'type': 'Point', 'coordinates': [-75.39919, 40.92406]}",2022-10-03T00:00:00.000,ACTIVE,39.0,1346330461.0,,
28,Rite Aid 11104,1650 LIMEKILN PIKE,Dresher,Montgomery,PA,19025,00069-1085-30,Paxlovid,16.0,"{'type': 'Point', 'coordinates': [-75.16747, 40.14545]}",2022-10-03T00:00:00.000,ACTIVE,39.0,1326147687.0,,
29,MOSAIC MEDICAL CENTER ALBANY,705 N COLLEGE,Albany,Gentry,MO,64402,00069-1085-30,Paxlovid,40.0,"{'type': 'Point', 'coordinates': [-94.32528, 40.25213]}",2022-09-30T00:00:00.000,ACTIVE,26.0,,,
30,FREEMAN HOSPITAL WEST,1102 W 32ND ST,Joplin,Jasper,MO,64804,00069-1085-30,Paxlovid,35.0,"{'type': 'Point', 'coordinates': [-94.52412, 37.05508]}",2022-10-03T00:00:00.000,ACTIVE,26.0,,,
31,ARCHDALE DRUG CO INC,11220 N MAIN ST,Archdale,Guilford,NC,27263,00069-1085-30,Paxlovid,28.0,"{'type': 'Point', 'coordinates': [-79.97078, 35.91362]}",2022-09-29T00:00:00.000,ACTIVE,34.0,1467559393.0,,
32,Bartell Drugs 06936,1001 Mercer St,Seattle,King,WA,98109,00069-1101-20,Renal Paxlovid,1.0,"{'type': 'Point', 'coordinates': [-122.33673, 47.62438]}",2022-10-03T00:00:00.000,ACTIVE,48.0,1740620392.0,,
33,FREEMAN HOSPITAL WEST,1102 W 32ND ST,Joplin,Jasper,MO,64804,00006-5055-06,Lagevrio (molnupiravir),60.0,"{'type': 'Point', 'coordinates': [-94.52412, 37.05508]}",2022-10-03T00:00:00.000,ACTIVE,26.0,,,
34,Postmeds Inc,3121 Diablo Ave,Hayward,Alameda,CA,94545,00069-1085-30,Paxlovid,161.0,"{'type': 'Point', 'coordinates': [-122.121395, 37.636195]}",2022-10-03T00:00:00.000,ACTIVE,5.0,,,
35,WALGREENS STORE #04681,1424 BROADWAY,Eureka,Humboldt,CA,95501,00069-1085-30,Paxlovid,6.0,"{'type': 'Point', 'coordinates': [-124.177876, 40.793735]}",2022-09-29T00:00:00.000,ACTIVE,5.0,1215942594.0,,
36,Rite Aid 06013,1935 N STREET,Newman,Stanislaus,CA,95360,00069-1085-30,Paxlovid,87.0,"{'type': 'Point', 'coordinates': [-121.020505, 37.309855]}",2022-10-03T00:00:00.000,ACTIVE,5.0,2098622102.0,,
37,Rite Aid 06366,6001 COFFEE ROAD,Bakersfield,Kern,CA,93308,00069-1085-30,Paxlovid,46.0,"{'type': 'Point', 'coordinates': [-119.092248, 35.30081]}",2022-10-03T00:00:00.000,ACTIVE,5.0,6615870935.0,,
38,WALGREENS STORE #04595,59 BOSTON ST,Salem,Essex,MA,1970,00069-1101-20,Renal Paxlovid,4.0,"{'type': 'Point', 'coordinates': [-70.90932, 42.51847]}",2022-09-29T00:00:00.000,ACTIVE,22.0,1083621064.0,,
39,UNITED PHARMACY,401 Slide Road,Lubbock,Lubbock,TX,79416,00069-1101-20,Renal Paxlovid,6.0,"{'type': 'Point', 'coordinates': [-101.92227, 33.59215]}",2022-10-03T00:00:00.000,ACTIVE,44.0,1578554093.0,,
40,Optum Serve - Lone Pine,310 N Jackson Street,Lone Pine,Inyo,CA,93545,00069-1101-20,Renal Paxlovid,3.0,"{'type': 'Point', 'coordinates': [-118.063025, 36.60764]}",2022-10-03T00:00:00.000,ACTIVE,5.0,,,
41,Gericare LTC,113 E. MADISON,Iola,Allen,KS,66749,00069-1101-20,Renal Paxlovid,20.0,"{'type': 'Point', 'coordinates': [-95.40631, 37.92129]}",2022-09-29T00:00:00.000,ACTIVE,17.0,1255445235.0,,
42,Giant Food Store # 798,8941 OX ROAD,Lorton,Fairfax,VA,22079,00069-1085-30,Paxlovid,34.0,"{'type': 'Point', 'coordinates': [-77.26231, 38.7155]}",2022-10-03T00:00:00.000,ACTIVE,47.0,1720011075.0,,
43,SAFEWAY PHARMACY,12 W Washington ST,Middleburg,Loudoun,VA,20117,00069-1085-30,Paxlovid,21.0,"{'type': 'Point', 'coordinates': [-77.736791, 38.96904]}",2022-10-03T00:00:00.000,ACTIVE,47.0,1982630760.0,,
44,WALGREENS STORE #17784,150 N 11TH ST,Wytheville,Wythe,VA,24382,00069-1085-30,Paxlovid,16.0,"{'type': 'Point', 'coordinates': [-81.07847, 36.95396]}",2022-09-29T00:00:00.000,ACTIVE,47.0,1407379415.0,,
45,Walmart Pharmacy #4538,6060 FRY RD,Katy,Harris,TX,77449,00069-1085-30,Paxlovid,17.0,"{'type': 'Point', 'coordinates': [-95.71608, 29.85943]}",2022-10-03T00:00:00.000,ACTIVE,44.0,1710163167.0,,
46,HEB Pharmacy 389,6000 WEST AVENUE,San Antonio,Bexar,TX,78213,00069-1085-30,Paxlovid,57.0,"{'type': 'Point', 'coordinates': [-98.52459, 29.51488]}",2022-09-30T00:00:00.000,ACTIVE,44.0,1316056393.0,,
47,HEMMANUEL PHARMACY LLC,3914 N JACKSON RD,Pharr,Hidalgo,TX,78577,00069-1085-30,Paxlovid,870.0,"{'type': 'Point', 'coordinates': [-98.19814, 26.23142]}",2022-10-01T00:00:00.000,ACTIVE,44.0,,,
48,KARE DRUG - AZTEC,100 LLANO ST.,Aztec,San Juan,NM,87410,00069-1085-30,Paxlovid,17.0,"{'type': 'Point', 'coordinates': [-107.996762, 36.819325]}",2022-09-28T00:00:00.000,ACTIVE,32.0,1649262502.0,,
49,KEY PHARMACY,614 Crandon Boulevard,Key Biscayne,Miami Dade,FL,33149,00069-1085-30,Paxlovid,111.0,"{'type': 'Point', 'coordinates': [-80.16393, 25.68981]}",2022-10-03T00:00:00.000,ACTIVE,,1578560074.0,,
50,CFHC - LAKELAND,1129 N MISSOURI AVE,Lakeland,Polk,FL,33805,00069-1085-30,Paxlovid,35.0,"{'type': 'Point', 'coordinates': [-81.957963, 28.05833]}",2022-09-22T00:00:00.000,ACTIVE,10.0,,,
51,Coopers Drugs,700 EAST BUSINESS HWY 98,Panama City,Bay,FL,32401,00069-1085-30,Paxlovid,22.0,"{'type': 'Point', 'coordinates': [-85.65004, 30.15718]}",2022-10-01T00:00:00.000,ACTIVE,,,,
52,VELVA DRUG COMPANY,16 N MAIN ST,Velva,Mchenry,ND,58790,00069-1085-30,Paxlovid,1.0,"{'type': 'Point', 'coordinates': [-100.92942, 48.05693]}",2022-09-20T00:00:00.000,ACTIVE,35.0,,,
53,ORCHARD HOSPITAL,240 Spruce Street,Gridley,Butte,CA,95948,00002-7589-01,Bebtelovimab,7.0,"{'type': 'Point', 'coordinates': [-121.68961, 39.367555]}",2022-09-22T00:00:00.000,ACTIVE,5.0,,,
54,Rite Aid 10574,7118 3RD AVENUE,Brooklyn,Kings,NY,11209,00069-1101-20,Renal Paxlovid,8.0,"{'type': 'Point', 'coordinates': [-74.027165, 40.633835]}",2022-10-03T00:00:00.000,ACTIVE,,1548360902.0,,
55,Rite Aid 10831,8530 TRANSIT RD,Amherst,Erie,NY,14221,00069-1101-20,Renal Paxlovid,4.0,"{'type': 'Point', 'coordinates': [-78.697975, 42.99944]}",2022-10-03T00:00:00.000,ACTIVE,33.0,1124127485.0,,
56,Walmart Pharmacy #2919,4430 Desiard St,Monroe,Ouachita,LA,71203,00069-1085-30,Paxlovid,7.0,"{'type': 'Point', 'coordinates': [-92.07622, 32.51523]}",2022-10-03T00:00:00.000,ACTIVE,19.0,1265835946.0,,
57,MATTES PHARMACY,314 MAIN ST.,Marion,Union,LA,71260,00069-1085-30,Paxlovid,3.0,"{'type': 'Point', 'coordinates': [-92.24694, 32.90118]}",2022-10-03T00:00:00.000,ACTIVE,19.0,,,
58,PEOPLE DRUG STORE,7869 Main Street,Houma,Terrebonne,LA,70360,00069-1085-30,Paxlovid,34.0,"{'type': 'Point', 'coordinates': [-90.72156, 29.597625]}",2022-09-28T00:00:00.000,ACTIVE,19.0,,,
59,ALBANY GENERAL HOSPITAL,1046 SW 6TH AVE,Albany,Linn,OR,97321,00310-7442-02,Evusheld,70.0,"{'type': 'Point', 'coordinates': [-123.11637, 44.63202]}",2022-10-03T00:00:00.000,ACTIVE,38.0,,,
60,NE Tri-County Health Dept,240 E DOMINION,Colville,Stevens,WA,99114,00069-1085-30,Paxlovid,17.0,"{'type': 'Point', 'coordinates': [-117.90378, 48.53992]}",2022-10-03T00:00:00.000,ACTIVE,48.0,,,
61,Snyder Pharmacy 208,7293 M-123,Newberry,Luce,MI,49868,00069-1085-30,Paxlovid,17.0,"{'type': 'Point', 'coordinates': [-85.509739, 46.336465]}",2022-10-03T00:00:00.000,ACTIVE,23.0,1114934189.0,,
62,EAGLE PHARMACY,1404 S MAIN ST,Lindale,Smith,TX,75771,00310-7442-02,Evusheld,24.0,"{'type': 'Point', 'coordinates': [-95.40635, 32.50285]}",2022-09-26T00:00:00.000,ACTIVE,44.0,1295077683.0,,
63,DHR HEALTH,5501 S MCCOLL RD,Edinburg,Hidalgo,TX,78539,00310-7442-02,Evusheld,48.0,"{'type': 'Point', 'coordinates': [-98.204995, 26.252805]}",2022-10-03T00:00:00.000,ACTIVE,44.0,1407823248.0,,
64,WALGREENS STORE #13711,20 W HUDSON AVE,Englewood,Bergen,NJ,7631,00069-1085-30,Paxlovid,64.0,"{'type': 'Point', 'coordinates': [-73.96912, 40.91001]}",2022-09-29T00:00:00.000,ACTIVE,31.0,1114169182.0,,
65,WALGREENS STORE #02682,406 E MADISON AVE,Dumont,Bergen,NJ,7628,00069-1085-30,Paxlovid,44.0,"{'type': 'Point', 'coordinates': [-73.97877, 40.94097]}",2022-09-29T00:00:00.000,ACTIVE,31.0,1275548265.0,,
66,WALGREENS STORE #11358,22 W MAIN ST,Denville,Morris,NJ,7834,00069-1085-30,Paxlovid,31.0,"{'type': 'Point', 'coordinates': [-74.49031, 40.893065]}",2022-09-29T00:00:00.000,ACTIVE,31.0,1336398072.0,,
67,OSCO PHARMACY,4355 N SHERIDAN RD,Chicago,Cook,IL,60613,00069-1085-30,Paxlovid,16.0,"{'type': 'Point', 'coordinates': [-87.65461, 41.9611]}",2022-10-03T00:00:00.000,ACTIVE,14.0,1922054576.0,,
68,OSCO PHARMACY,199 BROOKFOREST AVE,Shorewood,Will,IL,60404,00069-1085-30,Paxlovid,9.0,"{'type': 'Point', 'coordinates': [-88.20145, 41.52257]}",2022-10-03T00:00:00.000,ACTIVE,14.0,1982650370.0,,
69,WALGREENS STORE #05127,18133 TORRENCE AVE,Lansing,Cook,IL,60438,00069-1085-30,Paxlovid,97.0,"{'type': 'Point', 'coordinates': [-87.558335, 41.56534]}",2022-09-29T00:00:00.000,ACTIVE,14.0,1619983111.0,,
70,WALGREENS STORE #05386,358 E CASS ST,Joliet,Will,IL,60432,00069-1101-20,Renal Paxlovid,7.0,"{'type': 'Point', 'coordinates': [-88.073515, 41.52751]}",2022-09-29T00:00:00.000,ACTIVE,14.0,1528073749.0,,
71,OSCO PHARMACY,5610 159TH ST.,Oak Forest,Cook,IL,60452,00069-1101-20,Renal Paxlovid,3.0,"{'type': 'Point', 'coordinates': [-87.75735, 41.60297]}",2022-10-03T00:00:00.000,ACTIVE,14.0,1821044504.0,,
72,KROGER PHARMACY 01100627,5550 BETHELVIEW ROAD,Cumming,Forsyth,GA,30040,00069-1085-30,Paxlovid,11.0,"{'type': 'Point', 'coordinates': [-84.185345, 34.169955]}",2022-10-03T00:00:00.000,ACTIVE,11.0,1699272765.0,,
73,WALGREENS STORE #02750,5555 S BROADWAY ST,Wichita,Sedgwick,KS,67216,00006-5055-06,Lagevrio (molnupiravir),62.0,"{'type': 'Point', 'coordinates': [-97.334755, 37.59421]}",2022-09-29T00:00:00.000,ACTIVE,17.0,1679588891.0,,
74,WALGREENS STORE #09193,2615 BRICE RD,Reynoldsburg,Franklin,OH,43068,00006-5055-06,Lagevrio (molnupiravir),46.0,"{'type': 'Point', 'coordinates': [-82.831865, 39.926985]}",2022-09-29T00:00:00.000,ACTIVE,36.0,1417962473.0,,
75,CVS Store #08129,295 S. BROADWAY,Lake Orion,Oakland,MI,48362,00069-1101-20,Renal Paxlovid,6.0,"{'type': 'Point', 'coordinates': [-83.238815, 42.780225]}",2022-09-30T00:00:00.000,ACTIVE,23.0,1851403703.0,CVS Pharmacy,
76,CVS Store #00952,205 SOUTH BROADWAY,Lawrence,Essex,MA,1843,00006-5055-06,Lagevrio (molnupiravir),23.0,"{'type': 'Point', 'coordinates': [-71.16243, 42.6938]}",2022-09-30T00:00:00.000,ACTIVE,22.0,1245339605.0,CVS Pharmacy,
77,RYALS DRUG STORE,12 S 2ND AVE,Mcrae,Telfair,GA,31055,00069-1085-30,Paxlovid,61.0,"{'type': 'Point', 'coordinates': [-82.899735, 32.06806]}",2022-10-03T00:00:00.000,ACTIVE,11.0,1467889352.0,,
78,WALGREENS STORE #02053,6565 PARADISE BLVD NW,Albuquerque,Bernalillo,NM,87114,00069-1101-20,Renal Paxlovid,2.0,"{'type': 'Point', 'coordinates': [-106.72706, 35.19275]}",2022-09-29T00:00:00.000,ACTIVE,32.0,1922015965.0,,
79,WALGREENS STORE #04092,593 MARKET ST,Elmwood Park,Bergen,NJ,7407,00069-1101-20,Renal Paxlovid,5.0,"{'type': 'Point', 'coordinates': [-74.104675, 40.89831]}",2022-09-29T00:00:00.000,ACTIVE,31.0,1063429975.0,,
80,WALGREENS STORE #17861,1099 WASHINGTON ST,South Attleboro,Bristol,MA,2703,00069-1085-30,Paxlovid,32.0,"{'type': 'Point', 'coordinates': [-71.37108, 41.896095]}",2022-09-29T00:00:00.000,ACTIVE,22.0,1871011007.0,,
81,KAISER PERM SUPPLY MAIN,2921 Naches Ave SW,Renton,King,WA,98057,00310-7442-02,Evusheld,76.0,"{'type': 'Point', 'coordinates': [-122.23895, 47.45565]}",2022-10-03T00:00:00.000,ACTIVE,48.0,,Bldg B,
82,CVS STORE #02854,230 MILLTOWN RD.,Bridgewater,Somerset,NJ,8807,00069-1101-20,Renal Paxlovid,7.0,"{'type': 'Point', 'coordinates': [-74.67346, 40.57025]}",2022-09-30T00:00:00.000,ACTIVE,31.0,1376635979.0,CVS Pharmacy,
83,WALGREENS STORE #03151,320 PARK AVE,Worcester,Worcester,MA,1610,00006-5055-06,Lagevrio (molnupiravir),270.0,"{'type': 'Point', 'coordinates': [-71.82145, 42.26113]}",2022-09-29T00:00:00.000,ACTIVE,22.0,1508871708.0,,
84,WALGREENS STORE #19888,601 NORWICH NEW LONDON TPKE,Uncasville,New London,CT,6382,00069-1101-20,Renal Paxlovid,33.0,"{'type': 'Point', 'coordinates': [-72.10433, 41.44191]}",2022-09-29T00:00:00.000,ACTIVE,7.0,1376067876.0,STE F,
85,WALGREENS STORE #14429,164 KENT AVE,Brooklyn,Kings,NY,11249,00006-5055-06,Lagevrio (molnupiravir),191.0,"{'type': 'Point', 'coordinates': [-73.96318, 40.71912]}",2022-09-29T00:00:00.000,ACTIVE,33.0,1023341807.0,,
86,CVS STORE #02409,219 WEST MAIN STREET,Moorestown,Burlington,NJ,8057,00069-1101-20,Renal Paxlovid,6.0,"{'type': 'Point', 'coordinates': [-74.95125, 39.96236]}",2022-09-30T00:00:00.000,ACTIVE,31.0,1699867291.0,CVS Pharmacy,
87,COSTCO PHARMACY # 222,2835 STATE ROUTE 35,Hazlet,Monmouth,NJ,7730,00069-1101-20,Renal Paxlovid,5.0,"{'type': 'Point', 'coordinates': [-74.170955, 40.41987]}",2022-10-03T00:00:00.000,ACTIVE,31.0,1528178142.0,,
88,CVS Store #06620,943 EAST WASHINGTON STREET,Winchester,Randolph,IN,47394,00069-1085-30,Paxlovid,37.0,"{'type': 'Point', 'coordinates': [-84.96322, 40.17251]}",2022-09-30T00:00:00.000,ACTIVE,15.0,1780787465.0,CVS Pharmacy,
89,LUTHERAN HOSPITAL,7950 W. JEFFERSON BLVD.,Fort Wayne,Allen,IN,46804,00069-1085-30,Paxlovid,14.0,"{'type': 'Point', 'coordinates': [-85.2505, 41.03769]}",2022-10-03T00:00:00.000,ACTIVE,15.0,,ATTN: INPATIENT PHARMACY,
90,CVS Store #11426,888 TERRY PARKWAY,Terrytown,Jefferson,LA,70056,00006-5055-06,Lagevrio (molnupiravir),22.0,"{'type': 'Point', 'coordinates': [-90.031385, 29.893055]}",2022-09-30T00:00:00.000,ACTIVE,19.0,1841302833.0,CVS Pharmacy,
91,CVS Store #06630,711 E. JEFFERSON STREET,Tipton,Tipton,IN,46072,00069-1085-30,Paxlovid,36.0,"{'type': 'Point', 'coordinates': [-86.03241, 40.28263]}",2022-09-30T00:00:00.000,ACTIVE,15.0,1215030929.0,CVS Pharmacy,
92,Walmart Pharmacy #1658,2205 Harrison Rd SE,Thomson,Mcduffie,GA,30824,00069-1101-20,Renal Paxlovid,3.0,"{'type': 'Point', 'coordinates': [-82.50085, 33.48125]}",2022-10-03T00:00:00.000,ACTIVE,11.0,1477570794.0,,
93,CVS Store #07140,599 STATE RD.,Westport,Bristol,MA,2790,00069-1085-30,Paxlovid,51.0,"{'type': 'Point', 'coordinates': [-71.08384, 41.66]}",2022-09-30T00:00:00.000,ACTIVE,22.0,1134459746.0,CVS Pharmacy,
94,WALGREENS STORE #12455,3909 MORMON COULEE RD,La Crosse,La Crosse,WI,54601,00006-5055-06,Lagevrio (molnupiravir),77.0,"{'type': 'Point', 'coordinates': [-91.220452, 43.77623]}",2022-09-29T00:00:00.000,ACTIVE,50.0,1114257706.0,,
95,CVS Store #16465,1040 HANES MALL BLVD,Winston-salem,Forsyth,NC,27103,00069-1101-20,Renal Paxlovid,8.0,"{'type': 'Point', 'coordinates': [-80.32057, 36.06909]}",2022-09-30T00:00:00.000,ACTIVE,34.0,1699797258.0,CVS Pharmacy,
96,CVS Store #04455,520 LARKFIELD ROAD,East Northport,Suffolk,NY,11731,00006-5055-06,Lagevrio (molnupiravir),30.0,"{'type': 'Point', 'coordinates': [-73.32129, 40.86265]}",2022-09-30T00:00:00.000,ACTIVE,33.0,1942303771.0,CVS Pharmacy,
97,KROGER PHARMACY 01100330,1122 POWERS FERRY RD SE,Marietta,Cobb,GA,30067,00069-1085-30,Paxlovid,4.0,"{'type': 'Point', 'coordinates': [-84.46957, 33.92321]}",2022-10-03T00:00:00.000,ACTIVE,11.0,1316971138.0,,
98,Walmart Pharmacy #1896,8250 RAZORBACK RD,Colorado Springs,El Paso,CO,80920,00006-5055-06,Lagevrio (molnupiravir),8.0,"{'type': 'Point', 'coordinates': [-104.80022, 38.949795]}",2022-10-03T00:00:00.000,ACTIVE,6.0,1134146400.0,,
99,PATTON PHARMACY AND VS VARIETY,503 RAILROAD AVENUE #SUITE 2,Patton,Cambria,PA,16668,00069-1101-20,Renal Paxlovid,8.0,"{'type': 'Point', 'coordinates': [-78.651025, 40.637995]}",2022-08-11T00:00:00.000,UNKNOWN INVENTORY,39.0,,,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
100,Walmart Pharmacy #3571,2900 Towne Blvd,Middletown,Butler,OH,45044,00006-5055-06,Lagevrio (molnupiravir),20.0,"{'type': 'Point', 'coordinates': [-84.32703, 39.48916]}",2022-10-03T00:00:00.000,ACTIVE,36.0,1205853405.0,,
101,Walmart Pharmacy #5160,1700 W Michigan Ave,Jackson,Jackson,MI,49202,00069-1101-20,Renal Paxlovid,3.0,"{'type': 'Point', 'coordinates': [-84.4345, 42.24923]}",2022-10-03T00:00:00.000,ACTIVE,23.0,1376560748.0,,
102,KHN PHARMACY - FORT HAMILTON,1010 CEREAL AVE,Hamilton,Butler,OH,45013,00006-5055-06,Lagevrio (molnupiravir),31.0,"{'type': 'Point', 'coordinates': [-84.572425, 39.414985]}",2022-10-03T00:00:00.000,ACTIVE,36.0,1558668350.0,Attn: Outpatient Pharmacy,
103,CVS Store #04582,9849 ROME BLVD.,Summerville,Chattooga,GA,30747,00069-1085-30,Paxlovid,38.0,"{'type': 'Point', 'coordinates': [-85.3492, 34.47733]}",2022-09-30T00:00:00.000,ACTIVE,11.0,1306949060.0,CVS Pharmacy,
104,Rite Aid 04372,640 NORTH MILFORD ROAD,Milford,Oakland,MI,48381,00069-1101-20,Renal Paxlovid,2.0,"{'type': 'Point', 'coordinates': [-83.60114, 42.59421]}",2022-10-03T00:00:00.000,ACTIVE,23.0,1225048523.0,,
105,CVS Store #16998,2966 E 3RD ST,Bloomington,Monroe,IN,47401,00069-1085-30,Paxlovid,33.0,"{'type': 'Point', 'coordinates': [-86.49441, 39.16174]}",2022-09-30T00:00:00.000,ACTIVE,15.0,1235151952.0,CVS Pharmacy,
